[1 % 2, 1 % 3, 5 % 6]
[1 % 2, 1 % 4, 3 % 4]
[1 % 2, 1 % 5, 7 % 10]
[1 % 2, 1 % 6, 2 % 3]
[1 % 2, 1 % 7, 9 % 14]
[1 % 2, 1 % 8, 5 % 8]
[1 % 2, 1 % 9, 11 % 18]
[1 % 2, 1 % 10, 3 % 5]
[1 % 2, 1 % 11, 13 % 22]
[1 % 2, 1 % 12, 7 % 12]
[1 % 2, 1 % 13, 15 % 26]
[1 % 2, 1 % 14, 4 % 7]
[1 % 2, 1 % 15, 17 % 30]
[1 % 2, 1 % 16, 9 % 16]
[1 % 2, 1 % 17, 19 % 34]
[1 % 2, 1 % 18, 5 % 9]
[1 % 2, 1 % 20, 11 % 20]
[1 % 2, 1 % 22, 6 % 11]
[1 % 2, 1 % 24, 13 % 24]
[1 % 2, 1 % 26, 7 % 13]
[1 % 2, 1 % 28, 15 % 28]
[1 % 2, 1 % 30, 8 % 15]
[1 % 2, 1 % 32, 17 % 32]
[1 % 2, 1 % 34, 9 % 17]
[1 % 2, 2 % 3, 5 % 6]
[1 % 2, 2 % 5, 9 % 10]
[1 % 2, 1 % 3, 5 % 6]
[1 % 2, 2 % 7, 11 % 14]
[1 % 2, 1 % 4, 3 % 4]
[1 % 2, 2 % 9, 13 % 18]
[1 % 2, 1 % 5, 7 % 10]
[1 % 2, 2 % 11, 15 % 22]
[1 % 2, 1 % 6, 2 % 3]
[1 % 2, 2 % 13, 17 % 26]
[1 % 2, 1 % 7, 9 % 14]
[1 % 2, 2 % 15, 19 % 30]
[1 % 2, 1 % 8, 5 % 8]
[1 % 2, 2 % 17, 21 % 34]
[1 % 2, 1 % 9, 11 % 18]
[1 % 2, 1 % 10, 3 % 5]
[1 % 2, 1 % 11, 13 % 22]
[1 % 2, 1 % 12, 7 % 12]
[1 % 2, 1 % 13, 15 % 26]
[1 % 2, 1 % 14, 4 % 7]
[1 % 2, 1 % 15, 17 % 30]
[1 % 2, 1 % 16, 9 % 16]
[1 % 2, 1 % 17, 19 % 34]
[1 % 2, 3 % 7, 13 % 14]
[1 % 2, 3 % 8, 7 % 8]
[1 % 2, 3 % 8, 5 % 8]
[1 % 2, 1 % 3, 5 % 6]
[1 % 2, 3 % 10, 4 % 5]
[1 % 2, 3 % 11, 17 % 22]
[1 % 2, 1 % 4, 3 % 4]
[1 % 2, 3 % 13, 19 % 26]
[1 % 2, 3 % 14, 5 % 7]
[1 % 2, 1 % 5, 7 % 10]
[1 % 2, 3 % 16, 11 % 16]
[1 % 2, 3 % 17, 23 % 34]
[1 % 2, 1 % 6, 2 % 3]
[1 % 2, 3 % 20, 13 % 20]
[1 % 2, 1 % 7, 9 % 14]
[1 % 2, 3 % 22, 7 % 11]
[1 % 2, 1 % 8, 5 % 8]
[1 % 2, 3 % 26, 8 % 13]
[1 % 2, 1 % 9, 11 % 18]
[1 % 2, 3 % 28, 17 % 28]
[1 % 2, 1 % 10, 3 % 5]
[1 % 2, 3 % 32, 19 % 32]
[1 % 2, 1 % 11, 13 % 22]
[1 % 2, 3 % 34, 10 % 17]
[1 % 2, 2 % 3, 5 % 6]
[1 % 2, 4 % 9, 17 % 18]
[1 % 2, 2 % 5, 9 % 10]
[1 % 2, 4 % 11, 19 % 22]
[1 % 2, 1 % 3, 5 % 6]
[1 % 2, 4 % 13, 21 % 26]
[1 % 2, 2 % 7, 11 % 14]
[1 % 2, 4 % 15, 23 % 30]
[1 % 2, 4 % 15, 17 % 30]
[1 % 2, 1 % 4, 3 % 4]
[1 % 2, 4 % 17, 25 % 34]
[1 % 2, 2 % 9, 13 % 18]
[1 % 2, 1 % 5, 7 % 10]
[1 % 2, 2 % 11, 15 % 22]
[1 % 2, 1 % 6, 2 % 3]
[1 % 2, 2 % 13, 17 % 26]
[1 % 2, 1 % 7, 9 % 14]
[1 % 2, 2 % 15, 19 % 30]
[1 % 2, 1 % 8, 5 % 8]
[1 % 2, 2 % 17, 21 % 34]
[1 % 2, 5 % 11, 21 % 22]
[1 % 2, 5 % 12, 11 % 12]
[1 % 2, 5 % 13, 23 % 26]
[1 % 2, 5 % 14, 6 % 7]
[1 % 2, 1 % 3, 5 % 6]
[1 % 2, 5 % 16, 13 % 16]
[1 % 2, 5 % 17, 27 % 34]
[1 % 2, 5 % 18, 7 % 9]
[1 % 2, 1 % 4, 3 % 4]
[1 % 2, 5 % 22, 8 % 11]
[1 % 2, 5 % 24, 17 % 24]
[1 % 2, 5 % 24, 13 % 24]
[1 % 2, 1 % 5, 7 % 10]
[1 % 2, 5 % 26, 9 % 13]
[1 % 2, 5 % 28, 19 % 28]
[1 % 2, 1 % 6, 2 % 3]
[1 % 2, 5 % 32, 21 % 32]
[1 % 2, 5 % 34, 11 % 17]
[1 % 2, 1 % 7, 9 % 14]
[1 % 2, 2 % 3, 5 % 6]
[1 % 2, 6 % 13, 25 % 26]
[1 % 2, 3 % 7, 13 % 14]
[1 % 2, 2 % 5, 9 % 10]
[1 % 2, 3 % 8, 7 % 8]
[1 % 2, 3 % 8, 5 % 8]
[1 % 2, 6 % 17, 29 % 34]
[1 % 2, 1 % 3, 5 % 6]
[1 % 2, 3 % 10, 4 % 5]
[1 % 2, 2 % 7, 11 % 14]
[1 % 2, 3 % 11, 17 % 22]
[1 % 2, 1 % 4, 3 % 4]
[1 % 2, 3 % 13, 19 % 26]
[1 % 2, 2 % 9, 13 % 18]
[1 % 2, 3 % 14, 5 % 7]
[1 % 2, 1 % 5, 7 % 10]
[1 % 2, 3 % 16, 11 % 16]
[1 % 2, 2 % 11, 15 % 22]
[1 % 2, 3 % 17, 23 % 34]
[1 % 2, 7 % 15, 29 % 30]
[1 % 2, 7 % 16, 15 % 16]
[1 % 2, 7 % 17, 31 % 34]
[1 % 2, 7 % 18, 8 % 9]
[1 % 2, 7 % 20, 17 % 20]
[1 % 2, 1 % 3, 5 % 6]
[1 % 2, 7 % 22, 9 % 11]
[1 % 2, 7 % 24, 19 % 24]
[1 % 2, 7 % 26, 10 % 13]
[1 % 2, 1 % 4, 3 % 4]
[1 % 2, 7 % 30, 11 % 15]
[1 % 2, 7 % 32, 23 % 32]
[1 % 2, 7 % 34, 12 % 17]
[1 % 2, 1 % 5, 7 % 10]
[1 % 2, 2 % 3, 5 % 6]
[1 % 2, 8 % 17, 33 % 34]
[1 % 2, 4 % 9, 17 % 18]
[1 % 2, 2 % 5, 9 % 10]
[1 % 2, 4 % 11, 19 % 22]
[1 % 2, 1 % 3, 5 % 6]
[1 % 2, 4 % 13, 21 % 26]
[1 % 2, 2 % 7, 11 % 14]
[1 % 2, 4 % 15, 23 % 30]
[1 % 2, 4 % 15, 17 % 30]
[1 % 2, 1 % 4, 3 % 4]
[1 % 2, 4 % 17, 25 % 34]
[1 % 2, 9 % 20, 19 % 20]
[1 % 2, 3 % 7, 13 % 14]
[1 % 2, 9 % 22, 10 % 11]
[1 % 2, 3 % 8, 7 % 8]
[1 % 2, 3 % 8, 5 % 8]
[1 % 2, 9 % 26, 11 % 13]
[1 % 2, 1 % 3, 5 % 6]
[1 % 2, 9 % 28, 23 % 28]
[1 % 2, 3 % 10, 4 % 5]
[1 % 2, 9 % 32, 25 % 32]
[1 % 2, 3 % 11, 17 % 22]
[1 % 2, 9 % 34, 13 % 17]
[1 % 2, 2 % 3, 5 % 6]
[1 % 2, 5 % 11, 21 % 22]
[1 % 2, 5 % 12, 11 % 12]
[1 % 2, 2 % 5, 9 % 10]
[1 % 2, 5 % 13, 23 % 26]
[1 % 2, 5 % 14, 6 % 7]
[1 % 2, 1 % 3, 5 % 6]
[1 % 2, 5 % 16, 13 % 16]
[1 % 2, 5 % 17, 27 % 34]
[1 % 2, 2 % 7, 11 % 14]
[1 % 2, 11 % 24, 23 % 24]
[1 % 2, 11 % 26, 12 % 13]
[1 % 2, 11 % 28, 25 % 28]
[1 % 2, 11 % 30, 13 % 15]
[1 % 2, 11 % 32, 27 % 32]
[1 % 2, 1 % 3, 5 % 6]
[1 % 2, 11 % 34, 14 % 17]
[1 % 2, 2 % 3, 5 % 6]
[1 % 2, 6 % 13, 25 % 26]
